id	url	name	name	street_address	locality	region	postal_code	acres	counties	adopted_2017_standards_&_practices	number_of_board_members	number_of_full_time_staff	number_of_supporters	number_of_volunteers	year_first_joined	features
killbuck-watershed-land-trust-oh	https://findalandtrust.org/land-trusts/explore/killbuck-watershed-land-trust-oh	Killbuck Watershed Land Trust	Killbuck Watershed Land Trust	133 S. Market Street	Wooster	OH	44691-4838	10,200	Ashland, Coshocton, Holmes, Wayne	Yes	10		200	32	2001	Trails|Public Access|Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
new-river-land-trust-va	https://findalandtrust.org/land-trusts/explore/new-river-land-trust-va	New River Land Trust	New River Land Trust	PO Box K	Blacksburg	VA	24063-1025	56,273	Bland, Carroll, Floyd, Giles, Grayson, Montgomery, Pulaski, Wythe, Galax, Radford	Yes	14	1	260	12	2002	Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
eddy-foundation-ny	https://findalandtrust.org/land-trusts/explore/eddy-foundation-ny	Eddy Foundation	Eddy Foundation	PO Box 42	Essex	NY	12936-0042	0	Essex	Yes					2002	
davidson-lands-conservancy-nc	https://findalandtrust.org/land-trusts/explore/davidson-lands-conservancy-nc	Davidson Lands Conservancy	Davidson Lands Conservancy	PO Box 1952	Davidson	NC	28036-1952	514	Cabarrus, Iredell, Mecklenburg	Yes	15		400	150	2001	Volunteer Opportunities
pines-and-prairies-land-trust-tx	https://findalandtrust.org/land-trusts/explore/pines-and-prairies-land-trust-tx	Pines and Prairies Land Trust	Pines and Prairies Land Trust	PO Box 737	Bastrop	TX	78602-0737	2,575	Bastrop, Caldwell, Fayette, Lee, Travis	Yes	5	2	101	16	2001	Trails|Public Access|Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
conservation-florida-fl	https://findalandtrust.org/land-trusts/explore/conservation-florida-fl	Conservation Florida	Conservation Florida	408 W University Ave Ste 402	Gainesville	FL	32601-5289	25,490	Alachua, Baker, Bay, Bradford, Brevard, Broward, Calhoun, Charlotte, Citrus, Clay, Collier, Columbia, Dade, De Soto, Dixie, Duval, Escambia, Flagler, Franklin, Gadsden, Gilchrist, Glades, Gulf, Hamilton, Hardee, Hendry, Hernando, Highlands, Hillsborough, Holmes, Indian River, Jackson, Jefferson, Lafayette, Lake, Lee, Leon, Levy, Liberty, Madison, Manatee, Marion, Martin, Miami-Dade, Monroe, Nassau, Okaloosa, Okeechobee, Orange, Osceola, Palm Beach, Pasco, Pinellas, Polk, Putnam, St. Johns, St. Lucie, Santa Rosa, Sarasota, Seminole, Sumter, Suwannee, Taylor, Union, Volusia, Wakulla, Walton, Washington	Yes	11	7	250	10	2002	Public Access|Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
putney-mountain-association-vt	https://findalandtrust.org/land-trusts/explore/putney-mountain-association-vt	Putney Mountain Association	Putney Mountain Association	PO Box 953	Putney	VT	05346-0953	1,088	Windham	Yes	15		825	16	2004	Public Access|Volunteer Opportunities
appalachia-ohio-alliance-oh	https://findalandtrust.org/land-trusts/explore/appalachia-ohio-alliance-oh	Appalachia Ohio Alliance	Appalachia Ohio Alliance	PO Box 1151	Logan	OH	43138-4151	13,335	Athens, Delaware, Fairfield, Fayette, Franklin, Gallia, Hardin, Hocking, Jackson, Logan, Madison, Marion, Meigs, Morrow, Perry, Pickaway, Pike, Ross, Union, Vinton, Washington	Yes	10	2	260	40	2002	Public Access|Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
okanogan-land-trust-wa	https://findalandtrust.org/land-trusts/explore/okanogan-land-trust-wa	Okanogan Land Trust	Okanogan Land Trust	PO Box 325	Okanogan	WA	98840-0325	13,231	Ferry, Okanogan	Yes	10	2	164	25	2001	Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
camden-county-land-trust-ga	https://findalandtrust.org/land-trusts/explore/camden-county-land-trust-ga	Camden County Land Trust	Camden County Land Trust	419 Houston Oaks Dr	Savannah	GA	31419-3307	14	Camden	Yes	4		10		2001	
central-colorado-conservancy-co	https://findalandtrust.org/land-trusts/explore/central-colorado-conservancy-co	Central Colorado Conservancy	Central Colorado Conservancy	128 East First St	Salida	CO	81201-2111	8,519	Chaffee, Fremont, Lake, Park, Saguache	Yes	8	5	1,250	30	2001	Public Access|Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
yggdrasil-land-foundation-inc-wi	https://findalandtrust.org/land-trusts/explore/yggdrasil-land-foundation-inc-wi	Yggdrasil Land Foundation, Inc	Yggdrasil Land Foundation, Inc	PO Box 358	Burlington	WI	53105-0358	87	Mendocino, San Francisco	Yes	8	1	7		2002	Trails|Public Access|Agricultural Land|Forests|Wildlife Habitat
el-rio-reyes-conservation-trust-ca	https://findalandtrust.org/land-trusts/explore/el-rio-reyes-conservation-trust-ca	El Rio Reyes Conservation Trust	El Rio Reyes Conservation Trust	PO Box 1339	Reedley	CA	93654-1339	0	Fresno, Tulare	Yes	7		100	10	2007	Agricultural Land|Wildlife Habitat
tar-river-land-conservancy-nc	https://findalandtrust.org/land-trusts/explore/tar-river-land-conservancy-nc	Tar River Land Conservancy	Tar River Land Conservancy	PO Box 1161	Louisburg	NC	27549-1161	22,415	Edgecombe, Franklin, Granville, Halifax, Nash, Person, Vance, Warren	Yes	10	2	425	33	2001	Public Access|Volunteer Opportunities
northcoast-regional-land-trust-ca	https://findalandtrust.org/land-trusts/explore/northcoast-regional-land-trust-ca	Northcoast Regional Land Trust	Northcoast Regional Land Trust	PO Box 398	Bayside	CA	95524-0398	56,629	Del Norte, Humboldt, Trinity	Yes	13	3	408	75	2001	Trails|Public Access|Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
tampa-bay-conservancy-inc-fl	https://findalandtrust.org/land-trusts/explore/tampa-bay-conservancy-inc-fl	Tampa Bay Conservancy, Inc.						70	Hillsborough, Manatee, Pasco, Pinellas	Yes	13			50	2001	Public Access|Volunteer Opportunities
marblehead-conservancy-inc-ma	https://findalandtrust.org/land-trusts/explore/marblehead-conservancy-inc-ma	Marblehead Conservancy, Inc.	Marblehead Conservancy, Inc.	20 Churchill Rd	Marblehead	MA	01945-1213	121	Essex	Yes	7		243	35	2001	Volunteer Opportunities
westbrook-land-conservation-trust-ct	https://findalandtrust.org/land-trusts/explore/westbrook-land-conservation-trust-ct	Westbrook Land Conservation Trust	Westbrook Land Conservation Trust	PO Box 1124	Westbrook	CT	06498-1124	191	Middlesex	Yes	9		69	24	2004	Public Access|Volunteer Opportunities
jefferson-county-farmland-protection-board-wv	https://findalandtrust.org/land-trusts/explore/jefferson-county-farmland-protection-board-wv	Jefferson County Farmland Protection Board	Jefferson County Farmland Protection Board	PO Box 731	Charles Town	WV	25414-0731	11,426	Jefferson	Yes	7	1	300	1	2012	Volunteer Opportunities|Agricultural Land
prairie-land-conservancy-il	https://findalandtrust.org/land-trusts/explore/prairie-land-conservancy-il	Prairie Land Conservancy	Prairie Land Conservancy	321 W University Drive	Macomb	IL	61455-1144	2,061	Adams, Brown, Fulton, Hancock, Henderson, Knox, McDonough, Mercer, Peoria, Pike, Schuyler, Warren	Yes	11	3	250	20	2002	Trails|Public Access|Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
save-habitat-and-diversity-of-wetlands-organization-wa	https://findalandtrust.org/land-trusts/explore/save-habitat-and-diversity-of-wetlands-organization-wa	Save Habitat and Diversity of Wetlands Organization	Save Habitat and Diversity of Wetlands Organization	21818 184th Avenue SE	Renton	WA	98058-9719	93	King	Yes	7	1	60	200	2000	Trails|Public Access|Volunteer Opportunities|Forests|Wildlife Habitat
kettle-moraine-land-trust-wi	https://findalandtrust.org/land-trusts/explore/kettle-moraine-land-trust-wi	Kettle Moraine Land Trust	Kettle Moraine Land Trust	PO Box 176	Elkhorn	WI	53121-0176	428	Jefferson, Rock, Walworth	Yes	10	1	225	40	2001	Trails|Public Access|Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
mississippi-land-trust-ms	https://findalandtrust.org/land-trusts/explore/mississippi-land-trust-ms	Mississippi Land Trust	Mississippi Land Trust	PO Box 23	Stoneville	MS	38776-0023	99,310	Adams, Adams, Alcorn, Alcorn, Amite, Amite, Attala, Attala, Benton, Benton, Bolivar, Bolivar, Calhoun, Calhoun, Carroll, Carroll, Chickasaw, Chickasaw, Choctaw, Choctaw, Claiborne, Claiborne, Clarke, Clarke, Clay, Clay, Coahoma, Coahoma, Copiah, Copiah, Covington, Covington, DeSoto, DeSoto, Forrest, Forrest, Franklin, Franklin, George, George, Greene, Greene, Grenada, Grenada, Hancock, Hancock, Harrison, Harrison, Hinds, Hinds, Holmes, Holmes, Humphreys, Humphreys, Issaquena, Issaquena, Itawamba, Itawamba, Jackson, Jackson, Jasper, Jasper, Jefferson, Jefferson, Jefferson Davis, Jefferson Davis, Jones, Jones, Kemper, Kemper, Lafayette, Lafayette, Lamar, Lamar, Lauderdale, Lauderdale, Lawrence, Lawrence, Leake, Leake, Lee, Lee, Leflore, Leflore, Lincoln, Lowndes, Madison, Marion, Marshall, Monroe, Montgomery, Neshoba, Newton, Noxubee, Oktibbeha, Panola, Pearl River, Perry, Pike, Pontotoc	Yes					2000	
american-farmland-trust-ma	https://findalandtrust.org/land-trusts/explore/american-farmland-trust-ma	American Farmland Trust	American Farmland Trust	1 Short Street, Suite 2	Northampton	MA	01060-3988	76,533		Yes	17	130	59,488	16	2019	Volunteer Opportunities|Agricultural Land
hawai-i-land-trust-hi	https://findalandtrust.org/land-trusts/explore/hawai-i-land-trust-hi	Hawai'i Land Trust	Hawai'i Land Trust	126 Queen St Ste 306	Honolulu	HI	96813-4415	21,650	Hawaii, Honolulu, Kalawao, Kauai, Maui	Yes	15	9	2,117	3	2001	Trails|Public Access|Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
harvard-conservation-trust-ma	https://findalandtrust.org/land-trusts/explore/harvard-conservation-trust-ma	Harvard Conservation Trust	Harvard Conservation Trust	PO Box 31	Harvard	MA	01451-0031	784	Worcester	Yes	14		352	50	2004	Volunteer Opportunities
inland-mendocino-county-land-trust-ca	https://findalandtrust.org/land-trusts/explore/inland-mendocino-county-land-trust-ca	Inland Mendocino County Land Trust	Inland Mendocino County Land Trust	PO Box 205	Ukiah	CA	95482-0205	190	Mendocino	Yes	9		50		2002	
the-new-roxbury-land-trust-ct	https://findalandtrust.org/land-trusts/explore/the-new-roxbury-land-trust-ct	The New Roxbury Land Trust	The New Roxbury Land Trust	PO Box 98	Woodstock	CT	06281-0098	17	Windham	Yes	9		145	9	2001	Volunteer Opportunities
orient-land-trust-co	https://findalandtrust.org/land-trusts/explore/orient-land-trust-co	Orient Land Trust	Orient Land Trust	PO Box 65	Villa Grove	CO	81155-0065	2,260	Saguache	Yes	7	9	1,447	25	2001	Public Access|Volunteer Opportunities
cohasset-conservation-trust-inc-ma	https://findalandtrust.org/land-trusts/explore/cohasset-conservation-trust-inc-ma	Cohasset Conservation Trust, Inc.	Cohasset Conservation Trust, Inc.	PO Box 314	Cohasset	MA	02025-0314	100	Norfolk	Yes	9		75		1991	Public Access
eno-river-association-nc	https://findalandtrust.org/land-trusts/explore/eno-river-association-nc	Eno River Association	Eno River Association	4404 Guess Rd	Durham	NC	27712-2620	7,383	Durham, Orange	Yes	14	5	1,429	200	2001	Trails|Public Access|Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
driftless-area-land-conservancy-wi	https://findalandtrust.org/land-trusts/explore/driftless-area-land-conservancy-wi	Driftless Area Land Conservancy	Driftless Area Land Conservancy	206 S Iowa St PO Box 323	Dodgeville	WI	53533-1740	7,813	Dane, Grant, Green, Iowa, Lafayette, Richland, Sauk	Yes	13	5	811	23	2001	Trails|Public Access|Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
friends-of-the-madison-school-forest-wi	https://findalandtrust.org/land-trusts/explore/friends-of-the-madison-school-forest-wi	Friends of the Madison School Forest	Friends of the Madison School Forest	1807 Dewberry Drive	Madison	WI	53719-4434	95	Dane	Yes	10		323	25	2001	Volunteer Opportunities
national-woodland-owner-association-va	https://findalandtrust.org/land-trusts/explore/national-woodland-owner-association-va	National Woodland Owners Association	National Woodland Owners Association	374 Maple Avenue E Ste 310	Vienna	VA	22180-4718	0	Fairfax	Yes					2000	
chelmsford-land-conservation-trust-ma	https://findalandtrust.org/land-trusts/explore/chelmsford-land-conservation-trust-ma	Chelmsford Land Conservation Trust	Chelmsford Land Conservation Trust	PO Box 216	Chelmsford	MA	01824-0216	94	Middlesex	Yes	11		300	20	1990	Public Access|Volunteer Opportunities
river-fields-inc-ky	https://findalandtrust.org/land-trusts/explore/river-fields-inc-ky	River Fields, Inc.	River Fields, Inc.	1201 Story Avenue, Suite 215	Louisville	KY	40206-1713	2,299	Hardin, Jefferson, Nelson, Oldham, Shelby, Spencer, Trimble	Yes	12	2	1,000	45	1993	Public Access|Volunteer Opportunities
eastern-sierra-land-trust-ca	https://findalandtrust.org/land-trusts/explore/eastern-sierra-land-trust-ca	Eastern Sierra Land Trust	Eastern Sierra Land Trust	PO Box 755	Bishop	CA	93515-0755	18,772	Alpine, Inyo, Mono	Yes	8	5	850	50	2001	Public Access|Volunteer Opportunities|Agricultural Land|Wildlife Habitat
dover-land-conservation-trust-ma	https://findalandtrust.org/land-trusts/explore/dover-land-conservation-trust-ma	Dover Land Conservation Trust	Dover Land Conservation Trust	PO Box 562	Dover	MA	02030-0562	441	Norfolk	Yes	9		350	10	1989	Public Access|Volunteer Opportunities
catoctin-land-trust-md	https://findalandtrust.org/land-trusts/explore/catoctin-land-trust-md	Catoctin Land Trust	Catoctin Land Trust	PO Box 615	Frederick	MD	21705-0615	2,900	Frederick	Yes	6	1	100	4	2001	Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
wyoming-stock-growers-land-trust-wy	https://findalandtrust.org/land-trusts/explore/wyoming-stock-growers-land-trust-wy	Wyoming Stock Growers Land Trust	Wyoming Stock Growers Land Trust	113 E 20th St	Cheyenne	WY	82001-3701	284,981	Albany, Big Horn, Campbell, Carbon, Converse, Crook, Fremont, Goshen, Hot Springs, Johnson, Laramie, Lincoln, Natrona, Niobrara, Park, Platte, Sheridan, Sublette, Sweetwater, Teton, Uinta, Washakie, Weston	Yes	14	5	156		2001	Agricultural Land|Forests|Wildlife Habitat
andover-village-improvement-society-ma	https://findalandtrust.org/land-trusts/explore/andover-village-improvement-society-ma	Andover Village Improvement Society						1,021	Essex	Yes	15		850	160	1993	Trails|Public Access|Volunteer Opportunities|Forests|Wildlife Habitat
friends-of-the-fiscalini-ranch-preserve-ca	https://findalandtrust.org/land-trusts/explore/friends-of-the-fiscalini-ranch-preserve-ca	Friends of the Fiscalini Ranch Preserve	Friends of the Fiscalini Ranch Preserve	PO Box 1664	Cambria	CA	93428-1664	437	San Luis Obispo	Yes	12	1	420	112	2001	Trails|Volunteer Opportunities|Forests|Wildlife Habitat
dan-hole-pond-watershed-trust-nh	https://findalandtrust.org/land-trusts/explore/dan-hole-pond-watershed-trust-nh															
wareham-land-trust-inc-ma	https://findalandtrust.org/land-trusts/explore/wareham-land-trust-inc-ma	Wareham Land Trust, Inc.	Wareham Land Trust, Inc.	PO Box 718	Wareham	MA	02571-0718	719	Plymouth	Yes	12	1	306	20	2001	Public Access|Volunteer Opportunities|Forests|Wildlife Habitat
hingham-land-conservation-trust-ma	https://findalandtrust.org/land-trusts/explore/hingham-land-conservation-trust-ma	Hingham Land Conservation Trust	Hingham Land Conservation Trust	PO Box 10	Hingham	MA	02043-0010	177	Plymouth	Yes	9		210	2	2003	Public Access|Volunteer Opportunities
the-cornwall-conservation-trust-inc-ct	https://findalandtrust.org/land-trusts/explore/the-cornwall-conservation-trust-inc-ct	The Cornwall Conservation Trust, Inc.	The Cornwall Conservation Trust, Inc.	PO Box 74	West Cornwall	CT	06796-0074	2,735	Litchfield	Yes	17		130	12	2000	Trails|Public Access|Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
acton-conservation-trust-ma	https://findalandtrust.org/land-trusts/explore/acton-conservation-trust-ma	Acton Conservation Trust	Acton Conservation Trust	C/o Susan Mitchell Hardt 328 Pope Road	Concord	MA	01742-5228	205	Middlesex	Yes	7		216	4	2000	Public Access|Volunteer Opportunities
the-cobb-land-trust-inc-ga	https://findalandtrust.org/land-trusts/explore/the-cobb-land-trust-inc-ga	The Cobb Land Trust Inc.	The Cobb Land Trust Inc.	PO Box 672652	Marietta	GA	30006-0045	139	Cobb	Yes	5		20	1	1993	Public Access|Volunteer Opportunities
norwalk-land-trust-ct	https://findalandtrust.org/land-trusts/explore/norwalk-land-trust-ct	Norwalk Land Trust	Norwalk Land Trust	PO Box 34	Norwalk	CT	06853-0034	87	Fairfield	Yes	17		535	70	2005	Public Access|Volunteer Opportunities
ashburnham-conservation-trust-ma	https://findalandtrust.org/land-trusts/explore/ashburnham-conservation-trust-ma	Ashburnham Conservation Trust	Ashburnham Conservation Trust	PO Box 354	Ashburnham	MA	01430-0354	3,655	Middlesex, Worcester	Yes	9		100	8	2001	Public Access|Volunteer Opportunities
northern-prairies-land-trust-sd	https://findalandtrust.org/land-trusts/explore/northern-prairies-land-trust-sd	Northern Prairies Land Trust	Northern Prairies Land Trust	400 N Main Ave Ste 205	Sioux Falls	SD	57104-5976	4,100	Adams, Antelope, Arthur, Banner, Blaine, Boone, Box Butte, Boyd, Brown, Buffalo, Burt, Butler, Cass, Cedar, Chase, Cherry, Cheyenne, Clay, Colfax, Cuming, Custer, Dakota, Dawes, Dawson, Deuel, Dixon, Dodge, Douglas, Dundy, Fillmore, Franklin, Frontier, Furnas, Gage, Garden, Garfield, Gosper, Grant, Greeley, Hall, Hamilton, Harlan, Hayes, Hitchcock, Holt, Hooker, Howard, Jefferson, Johnson, Kearney, Keith, Keya Paha, Kimball, Knox, Lancaster, Lincoln, Logan, Loup, McPherson, Madison, Merrick, Morrill, Nance, Nemaha, Nuckolls, Otoe, Pawnee, Perkins, Phelps, Pierce, Platte, Polk, Red Willow, Richardson, Rock, Saline, Sarpy, Saunders, Scotts Bluff, Seward, Sheridan, Sherman, Sioux, Stanton, Thayer, Thomas, Thurston, Valley, Washington, Wayne, Webster, Wheeler, York	Yes	6	7	20	1	2001	Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
mainspring-conservation-trust-nc	https://findalandtrust.org/land-trusts/explore/mainspring-conservation-trust-nc	Mainspring Conservation Trust	Mainspring Conservation Trust	557 East Main St	Franklin	NC	28734-2649	82	Rabun	Yes	15	10	650	165	2000	Public Access|Volunteer Opportunities
cadillac-area-land-conservancy-mi	https://findalandtrust.org/land-trusts/explore/cadillac-area-land-conservancy-mi	Cadillac Area Land Conservancy	Cadillac Area Land Conservancy	124 1/2 N Mitchell St Ste 115	Cadillac	MI	49601-1867	2,407	Lake, Mason, Missaukee, Osceola, Wexford	Yes	9		106	12	2000	Trails|Public Access|Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
bristol-bay-heritage-trust-ak	https://findalandtrust.org/land-trusts/explore/bristol-bay-heritage-trust-ak	Bristol Bay Heritage Trust	Bristol Bay Heritage Trust	PO Box 1388	Dillingham	AK	99576-1388	21,670	Bristol Bay, Dillingham, Lake and Peninsula	Yes	11	1	85	5	2000	Public Access|Volunteer Opportunities
champaign-land-preservation-oh	https://findalandtrust.org/land-trusts/explore/champaign-land-preservation-oh	Champaign Land Preservation	Champaign Land Preservation	PO Box 38154	Urbana	OH	43078-8154	823	Champaign	Yes	7		41	1	2002	Volunteer Opportunities|Agricultural Land
land-conservancy-of-north-kingstown-ri	https://findalandtrust.org/land-trusts/explore/land-conservancy-of-north-kingstown-ri	Land Conservancy of North Kingstown	Land Conservancy of North Kingstown	PO Box 1499	North Kingstown	RI	02852-0632	77	Washington	Yes	14		64	13	2000	Volunteer Opportunities
friends-of-the-columbia-gorge-or	https://findalandtrust.org/land-trusts/explore/friends-of-the-columbia-gorge-or	Friends of the Columbia Gorge	Friends of the Columbia Gorge	123 NE 3rd Ave Suite 108	Portland	OR	97232-2975	326	Hood River, Multnomah, Wasco	Yes	20	19	6,500	50	2017	Trails|Public Access|Volunteer Opportunities|Wildlife Habitat
kestrel-land-trust-inc-ma	https://findalandtrust.org/land-trusts/explore/kestrel-land-trust-inc-ma	Kestrel Land Trust, Inc.	Kestrel Land Trust, Inc.	PO Box 1016	Amherst	MA	01004-1016	27,000	Franklin, Hampden, Hampshire	Yes	16	6	1,070	75	1990	Trails|Public Access|Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
cayucos-land-conservancy-ca	https://findalandtrust.org/land-trusts/explore/cayucos-land-conservancy-ca	Cayucos Land Conservancy	Cayucos Land Conservancy	PO Box 336	Cayucos	CA	93430-0336	1,565	San Luis Obispo	Yes	7		589	40	2000	Public Access|Volunteer Opportunities|Agricultural Land|Wildlife Habitat
green-mountain-conservation-group-nh	https://findalandtrust.org/land-trusts/explore/green-mountain-conservation-group-nh	Green Mountain Conservation Group	Green Mountain Conservation Group	236 Huntress Bridge Rd PO Box 95	Effingham	NH	03882-8468	4,964	Carroll	Yes	12	1	500	35	2000	Public Access|Volunteer Opportunities
yonkers-land-conservancy-ny	https://findalandtrust.org/land-trusts/explore/yonkers-land-conservancy-ny	Yonkers Land Conservancy	Yonkers Land Conservancy	PO Box 8	Yonkers	NY	10705-0008	1	Westchester	Yes			7	10	2000	Volunteer Opportunities
land-trust-for-the-mississippi-coastal-plain-ms	https://findalandtrust.org/land-trusts/explore/land-trust-for-the-mississippi-coastal-plain-ms	Land Trust for the Mississippi Coastal Plain	Land Trust for the Mississippi Coastal Plain	955A Howard Ave	Biloxi	MS	39530-3762	10,631	George, Hancock, Harrison, Jackson, Pearl River, Stone	Yes	8	4	160	20	2001	Trails|Public Access|Volunteer Opportunities|Forests|Wildlife Habitat
the-horticultural-society-of-boxford-ma	https://findalandtrust.org/land-trusts/explore/the-horticultural-society-of-boxford-ma	The Horticultural Society of Boxford	The Horticultural Society of Boxford	PO Box 142	Boxford	MA	01921-0142	7	Essex	Yes	5		100	10	2000	Public Access|Volunteer Opportunities
small-wilderness-area-preservation-inc-ca	https://findalandtrust.org/land-trusts/explore/small-wilderness-area-preservation-inc-ca	Small Wilderness Area Preservation, Inc.	Small Wilderness Area Preservation, Inc.	PO Box 6442	Los Osos	CA	93412-6442	30	San Luis Obispo	Yes	8		400	80	1987	Volunteer Opportunities
southern-plains-land-trust-co	https://findalandtrust.org/land-trusts/explore/southern-plains-land-trust-co	Southern Plains Land Trust	Southern Plains Land Trust	PO Box 1016	Lamar	CO	81052-1016	32,824	Baca, Bent, Las Animas, Otero, Prowers	Yes	7	4	200	50	2000	Public Access|Volunteer Opportunities|Wildlife Habitat
moose-mountains-regional-greenways-nh	https://findalandtrust.org/land-trusts/explore/moose-mountains-regional-greenways-nh	Moose Mountains Regional Greenways	Moose Mountains Regional Greenways	PO Box 191	Union	NH	03887-0191	2,892	Carroll	Yes	9		250	30	2001	Volunteer Opportunities
the-conservation-foundation-il	https://findalandtrust.org/land-trusts/explore/the-conservation-foundation-il	The Conservation Foundation	The Conservation Foundation	10S404 Knoch Knolls Rd	Naperville	IL	60565-5448	38,302	DeKalb, DuPage, Grundy, Kane, Kendall, La Salle, Will	Yes	25	14	5,000	200	1987	Trails|Public Access|Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
lebanon-valley-conservancy-pa	https://findalandtrust.org/land-trusts/explore/lebanon-valley-conservancy-pa	Lebanon Valley Conservancy	Lebanon Valley Conservancy	770 Cumberland St Ste A	Lebanon	PA	17042-5247	979	Lebanon	Yes	15		150	10	2000	Volunteer Opportunities
upper-peninsula-land-conservancy-mi	https://findalandtrust.org/land-trusts/explore/upper-peninsula-land-conservancy-mi	Upper Peninsula Land Conservancy	Upper Peninsula Land Conservancy	148 W Hewitt Ave	Marquette	MI	49855-3533	6,268	Alger, Baraga, Chippewa, Delta, Dickinson, Gogebic, Iron, Marquette, Menominee, Ontonagon	Yes	9	1	250	20	2000	Trails|Public Access|Volunteer Opportunities|Forests|Wildlife Habitat
upper-saco-valley-land-trust-nh	https://findalandtrust.org/land-trusts/explore/upper-saco-valley-land-trust-nh	Upper Saco Valley Land Trust	Upper Saco Valley Land Trust	PO Box 2233	Conway	NH	03818-2233	3,031	Oxford	Yes	13	4	700	80	2001	Trails|Public Access|Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
north-carolina-botanical-garden-foundation-nc	https://findalandtrust.org/land-trusts/explore/north-carolina-botanical-garden-foundation-nc	North Carolina Botanical Garden Foundation	North Carolina Botanical Garden Foundation	North Carolina Botanical Garden CB 3375 The University of North Carolina	Chapel Hill	NC	27599-0001	306	Orange, Orange	Yes					1991	
st-simons-land-trust-ga	https://findalandtrust.org/land-trusts/explore/st-simons-land-trust-ga	St. Simons Land Trust	St. Simons Land Trust	1810 Frederica Road	Saint Simons Island	GA	31522-2020	1,374	Glynn	Yes	17	3	1,200	250	2001	Public Access|Volunteer Opportunities|Forests|Wildlife Habitat
raritan-headwaters-association-nj	https://findalandtrust.org/land-trusts/explore/raritan-headwaters-association-nj	Raritan Headwaters Association	Raritan Headwaters Association	PO Box 273	Gladstone	NJ	07934-0273	1,548	Hunterdon, Morris, Somerset	Yes	19	9	450	600	2002	Trails|Public Access|Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
the-boone-conservancy-ky	https://findalandtrust.org/land-trusts/explore/the-boone-conservancy-ky	The Boone Conservancy	The Boone Conservancy	PO Box 416	Burlington	KY	41005-0416	839	Boone	Yes	11	1	24	10	2000	Trails|Public Access|Volunteer Opportunities|Forests|Wildlife Habitat
westwood-land-trust-ma	https://findalandtrust.org/land-trusts/explore/westwood-land-trust-ma	Westwood Land Trust	Westwood Land Trust	PO Box 2616	Westwood	MA	02090-7616	200	Norfolk	Yes	13		75	10	2000	Volunteer Opportunities
sunflower-land-trust-ks	https://findalandtrust.org/land-trusts/explore/sunflower-land-trust-ks	Sunflower Land Trust	Sunflower Land Trust	PO Box 8634	Wichita	KS	67208-0634	1,500	Butler, Sedgwick	Yes	9		120	12	2006	Public Access|Volunteer Opportunities
land-conservancy-of-west-michigan-mi	https://findalandtrust.org/land-trusts/explore/land-conservancy-of-west-michigan-mi	Land Conservancy of West Michigan	Land Conservancy of West Michigan	400 Ann St NW, Ste 102	Grand Rapids	MI	49504-2053	12,244	Allegan, Kent, Lake, Mason, Muskegon, Newaygo, Oceana, Ottawa	Yes	14	7	1,410	119	1990	Trails|Public Access|Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
archaeology-southwest-az	https://findalandtrust.org/land-trusts/explore/archaeology-southwest-az	Archaeology Southwest	Archaeology Southwest	300 N Ash Alley	Tucson	AZ	85701-1107	567	Apache, Cochise, Coconino, Gila, Graham, Greenlee, La Paz, Maricopa, Mohave, Navajo, Pima, Pinal, Santa Cruz, Yavapai, Yuma	Yes	8	14	1,300	50	2013	Public Access|Volunteer Opportunities
missouri-prairie-foundation-mo	https://findalandtrust.org/land-trusts/explore/missouri-prairie-foundation-mo	Missouri Prairie Foundation	Missouri Prairie Foundation	PO Box 200	Columbia	MO	65205-0200	4,016	Barton, St. Clair, Vernon	Yes	12	4	1,500	25	2010	Trails|Public Access|Volunteer Opportunities|Wildlife Habitat
